#langue_pile="de"
#langue_face="fr"
Pile;Face;Difficulté
das Schnitzel;Une escalope;1
Hoffentlich!;J'espère !;0
heute;aujourd'hui;1
morgen;demain;1
gestern;hier;0
schade;dommage;0
Flugsteig;la porte d'embarquement;0
Geburstagsgeschenk;cadeau d'anniversaire;1
die Reise;le voyage;1
wieder;bientôt;0
Wann kommt dein Zug an?;Quand arrive ton train ?;1
Möbel;Meubles;0
Erdgeschoss;RDC;0
Anfängerstufe;Niveau débutant;1
Mittelstufe;Niveau intermédiaire;0
Herzlichen Glückwunsch!;Félicitations;1
der,die,das,die;Articles nominatifs définis;1
den,die,das,die;Articles accusatifs définis;1
Ein,eine,ein,x;Articles nominatifs indéfinis;1
Einen,eine,ein,x;Articles accusatifs indéfinis;1
Mein (Ich),dein (Du),sein (Er),ihr (Sie),sein (Es);Articles possessifs singuliers;1
Unser (Wir),euer (Ihr),ihr (Sie);Articles possessifs pluriel;1
der Vorname;le prénom;1
der Nachname;le nom de famille;1
Wie ist dein Name?; Quel est ton nom ?;1
Wie ist ihr Name?; Quel est votre nom ?;1
Wer sind Sie?;Qui êtes-vous ?;1
Wer bist du?;Qui es-tu ?;1
Gerne;Volontiers;1
Gern geschehen;Avec plaisir;1
Das macht nichts;Ca ne fait rien.;0
Das ist toll!;C'est super!2;
Achtung !;Attention !;1
Auf keinen Fall;En aucun cas;1
Bis morgen;A demain;1
Wie geht es dir?;Comment vas-tu ?;1
Gestresst;Stressé;1
Sauer;Fâché;1
Traurig;Triste;0
Ich brauche Hilfe;J'ai besoin d'aide;1
Russland;Russie;1
Ich komme aus der Nähe von Berlin;Je viens des environs de Berlin.;1
das Land;Le pays;0
Asien;L'Asie;1
Europa;Europe;1
Afrika;L'Afrique;1
Nordamerika;L'Amérique du Nord;0
Südamerika;L'Amérique du Sud;0
Australien;L'Australie;1
Das liegt in Ostdeutschland;C'est dans l'est de l'Allemagne;1
Wir wohnen in einem Dorf;Nous habitons dans un village;1
Ich wohne auf dem Land;J'habite à la campagne;1
das Bundesland;L'état fédéré;0
Ich wohne bei Freunden;J'habite chez des amis;1
Ich habe zwei Söhne;J'ai deux fils;0
die Ehefrau;L'épouse;1
der Ehemann;Le mari;1
Ich bin verheiratet;Je suis marié;1
Ich bin ledig;Je suis célibataire;1
die Unterschrift;La signature;1
das Formular;le formulaire;1
die Dokumente;Le document;1
Entschuldigung, kannst du mir helfen?;Pardon, peux-tu m'aider ?;1
Ja natürlich;Oui bien sûr;0
Ich habe eine Frage;J'ai une question;1
Wissen Sie, wo das ist?; Savez-vous où c'est ?;1
Wie bitte?; Comment ?;1
Können Sie das wiederholen bitte?;Pouvez-vous répéter ?;1
Können Sie bitte langsamer sprechen?; Pouvez-vous parler plus lentement svp ?;1
die deutsche Sprache;La langue allemande;1
die Grammatik;La grammaire;1
die Vokabeln;Le vocabulaire;1
der Deutschkurs;Le cours d'allemand;1
Ich möchte mich für einen Kurs anmelden; J'aimerais m'inscrire à un cours d'allemand;1
Ich möchte Deutsch lernen;j'aimerais apprendre l'allemand;1
die Niveaustufe;le niveau;1
die Prüfung;L'examen;1
die Fremdsprache;La langue étrangère;1
der Beruf;La profession;0
Was machst du beruflich?; Que fais-tu professionnellement?;1
Ich mache eine Ausbildung; Je fais une formation;1
anrufen;appeler (au tel);2
das Handy;le téléphone;2
der Monat;le mois;1
im Januar;en janvier;2
am Montag;le lundi;2
diese Woche;cette semaine;2
nächste Woche;la semaine prochaine;1
das Wochenende;le weekend;1
Es ist zwei/fürzehn Uhr;Il est 14h;1
Es ist Viertel vor zwölf;Il est midi moins le quart;1
Wir treffen uns um 15 Uhr;On se retrouve à 15h;2
l'heure;die Stunde;2
Das dauert eine halbe Stunde;Ca prend un demi heure;2
die Minute(n);la/les minute(s);1
Das geht von zwei bis drei Uhr;C'est de 2h à 3h;2
morgens;(in the morning) le matin;0
Ich stehe um acht Uhr auf;Je me lève à 8h;2
täglich;tous les jours;1
Ich wasche mir die Haare;Je me lave les cheveux;2
Ich ziehe mich an;Je m'habille;2
Um neun Uhr fahre ich zur Arbeit;Je vais au travail à 9h;1
mittags;à midi;
die Mittagspause;pause du midi;2
Um eins esse ich zu Mittag;Je mange à 1h;2
abends;le soir;2
Ich mache um 18h30 Uhr Feierabend;Je finis le travail à 18h30;2
Ich gehe nach Hause;Je rentre à la maison;2
Nachts;La nuit;1
Ich gehe um 22 Uhr ins Bett;Je vais me couhcer à 22h;1
der Termin;le rdv;1
Ich hatte einen Termin;J'avais un rdv;1
Ich muss den Termin leider absagen;Je dois malheureusement annuler mon rdv;2
Ich kann leider nicht kommen;Malheureusement je ne peux pas venir;1
Ich habe einen wichtigen Termin;J'ai un rdv important;1
Ich haben den Bus verpasst;J'ai loupé le bus;2
Ich komme etwas später;Je viens un peu en retard;1
Können wir das verschieben;Est-ce qu'on peut remettre ça à plus tard ?;2
der Nahverkehr;les transports publics;2
Ich fahre mit dem Bus;Je prends le bus;1
Ich nehme die U-Bahn;Je prends le métro;1
Sie müssen hier einsteigen;Vous devez monter ici (dans le métro);2
Sie müssen hier aussteigen;Vous devez descendre ici;2
Sie müssen hier umsteigen;Vous devez faire un changement ici;1
Ich fahre mit dem Fahrrad;Je fais du vélo;2
das Auto;La voiture;1
Ich möchte verreisen;Je veux voyager;2
Wohin fährst du?;Où allez vous?;2
Fährt der Zug nach Berlin?;Est-ce que ce train va à Berlin ?;2
Wann fährt der Zug?;Quand est-ce que ce train part ?;1
Der Zug hat Verspätung;Le train est retardé;2
Die Bahn fährt nach Postdam;Le train va à Postdam;2
die Fähre;Le ferry;2
einfache Facht;aller (ticket);2
hin und zurück;aller retour;2
Ich möchte einen Sitzplatz reservieren bitte;J'aimerais réserver une place;0
das abteil;Le compartiment (de train);2
für die erste/zweite Klasse;pour la première/seconde classe;1
am Fenster;côté fenêtre;2
am Gang;côté couloir;2
das Zentrum;le centre ville;1
der Marktplatz;la place du marché;2
das Rathaus;l'hôtel de ville;1
die Schule;l'école;2
das Kino;le ciné;1
Gibt est hier eine Bank?;Est-ce qu'il y a une banque ici?;2
der Geldautomat;le distributeur de billets;2
die Bushaltestelle;L'arrêt de bus;0
die öffentliche Toilette;L'arrêt de bus;2
Entschuldigung, wie komme ich zum Hauptbahnof?; Excusez-moi, comment est-ce que je vais à la station principale ?;2
Gehen Sie geradeaus;Allez tout droit;1
Biegen Sie rechts ab;Tournez à droite;
an der Ampel;Au feu (de circulation);1
an der Kreuzung;au croisement;1
zu Fuß;à pied;1
die Farbe;la couleur;2
weiß;blanc;1
gelb;jaune;2
orange;orange;1
rot;rouge;2
rosa;rose;1
lila;violet;2
blau;bleu;1
hellblau;bleu clair;2
dunkelblau;bleu foncé;1
grün;vert;1
braun;marron;1
grau;gris;1
schwarz;noir;1
bunt;coloré;2
Das Essen ist fertig;Le repas est prêt;1
Guten Appetit;Bon appétit;1
das Mittagessen;Le déjeuner;2
Wir essen um 20 Uhr zu Abend;Nous dînons à 20h;2
Ich bin satt;Je n'ai plus faim;2
Wo ist die Kasse bitte?;Où se trouve la caisse (de supermarché) svp ?;1
Zahlen Sie bar?;Payez vous en liquide ?;1
Das ist ein Sonderangebot;C'est une offre spéciale;2
die Seife;savon;1
Das ist zu teuer;C'est trop cher;1
Möchten Sie eine Tüte?;Voulez-vous un sac ?;2
der Apfel;La pomme;1
die Banane;La banane;1
die Kirsche;La cerise;1
die Pflaume;La prune;1
die Erbeere;La fraise;2
die Weintraube;Le raisin;1
die Himbeere;La framboise;2
die Zitrone;Le citron;2
der Obstsalat;La salade de fruit;2
die Gurke;Le concombre;1
Ich möchte zwei Gurken kaufen;Je voudrais acheter deux concombres;2
die Tomate;La tomate;1
die Zwiebel;L'oignon;2
die Paprika;Le poivron;2
die Mörhe;La carotte;2
der Kohl;Le chou;2
der Brokkoli;Le brocolis;2
der Salat;La salade;1
der Spinat;L'épinard;2
das Radieschen;Le radis;2
die Aubergine;L'aubergine;0
die Kartoffel;La pomme de terre;1
Was möchtest du trinken?;Que veux tu boire ?;1
der Tee;Le thé;1
stilles Wasser;L'eau plate;2
der Sprudel;L'eau gazeuse;2
das Lieblingsessen;Le plat préféré;2
Ich bin Vegetarier;Je suis végétarien;2
Nein, ich trinke keinen Alkohol;Non, je ne bois pas d'alcool;2
Das ist süß;C'est sucré;1
Das ist salzig;C'est salé;1
Das ist sauer;C'est acide;1
Schmekt es dir?;Tu trouves ça bon ?;2
Nein, das schmeckt mir nicht;Non, ce n'est pas bon;2
Das schmeckt bitter;C'est amer;1
die Bluse;Le chemisier;1
das Kleid;La robe;2
der Rock;La jupe;2
das T-shirt;Le tshirt;1
das Hemd;La chemise;2
die Hose;Le pantalon;1
der Gürtel;La ceinture;2
der Pullover;Le pullover;2
die Jacke;La veste;2
der Mantel;Le manteau;2
der Hut;Le chapeau;1
die Mütze;Le bonnet;2
das Kopftuch;Le voile;1
der Schal;L'écharpe;2
die Schuhe;Les chaussures;2
die Stiefel;Les bottes;2
die Hausschuhe;Les pantoufles;2
die Socken;Les chaussettes;1
die Strumpfhose;Les collants;1
die Unterhose;le calecon/la culotte;2
der BH (Bi-ah);le soutif;1
das Unterhemd;Le maillot de corps;1
der Schlafanzug;Le pyjama;2
Eine Nummer größer bitte;Une pointure au dessus svp;2
Eine Nummer kleiner bitte;Une pointure en dessous svp;1
Das passt mir nicht;Ca ne me va pas;1
Das ist zu klein;C'est trop petit;2
Das steht dir gut;Ca te va bien;0
Mitternacht;Minuit;2
Pile;Face;Difficulté
